hello jake's automotive service station this is danny how may i help you today  (spk1_1)
hello anita have you had the car serviced with us in the past  (spk1_2)
meet you at a new customer and our service station was recommended to you by your friend card johnston  (spk1_3)
yes i know card don't spend it has been a good customer of ours for many years  (spk1_4)
you have a 2010 honda crv and on several occasions when you try to start the car it does nothing but fake  (spk1_5)
so you replace the battery two months ago so that is a new battery  (spk1_6)
you thought the battery was bad at first so you went back to address automotive store and have them tested the backfield game  (spk1_7)
zodiac inform the battery still good and that is not the problem  (spk1_8)
you said the car almost starts after a few tries but it seems to be that holds  (spk1_9)
well it may be the starter that needs to be replaced is it the original starter  (spk1_10)
so you have owned the car for 5 years and never replace the starter  (spk1_11)
cuz i think you should make an appointment to bring it in and we'll do a diagnostic test on the electronics to figure out what the problem is  (spk1_12)
yes we do have a car we can loan at work but it is already booked out for two weeks as of now  (spk1_13)
we also have the car shuttle service you can use if you need to be dropped off at work after you clean the car  (spk1_14)
what address would you be going to  (spk1_15)
north electric company on arcadia parkway is golden hour car service location  (spk1_16)
it is complementary into not charge for the car service but most people comparative to the driver 45  (spk1_17)
my first available opening to look at your honda crv with me next thursday  (spk1_18)
to take approximately four hours to look at the car and then run the diagnostics  (spk1_19)
we may be able to get the work done in one day but it wouldn't have to order any parts i cannot guarantee that  (spk1_20)
the cost of a new starter for that make and model of your car is worth 89 and the labor is approximately 2 50 if there are no other issues with the car  (spk1_21)
espn center breaks while we have it on ballot  (spk1_22)
duck walks to install a set of front or rear brakes will be approximately 400.48 of braids  (spk1_23)
with the winter it is a good idea to have the car checked all over especially with an order taker  (spk1_24)
we can schedule you for thursday october 21st arriving at 7 am  (spk1_25)
what is the number to reach you at 2017225648  (spk1_26)
okay anita we have you scheduled for our complimentary car service to and from work living our service center at 7:15 am and picking you up at approximately 4:15 pm from the arcadia arcadia  (spk1_27)
okay then i'll see you next thursday at 7 am  (spk1_28)
if you need to adjust your appointment please give us 24 hours notice or you will be charged 50 service fee  (spk1_29)
thank you  (spk1_30)
